upsmcmass,v0mcmasssum,massdiff,recoilmass_left,recoilmass_right
2.0,1.5,0.079,-0.478,0.412
3.0,1.5,0.084,-0.701,0.482
4.0,1.5,0.056,-0.644,0.305
5.0,1.5,0.069,-0.6,0.277
6.0,1.5,0.043,-0.624,0.176
7.0,1.5,0.048,-0.577,0.222
8.0,1.5,0.048,-0.551,0.197
9.0,1.5,0.066,-0.541,0.159
10.,1.5,0.069,-0.462,0.172

3.0,2.25,0.064,-0.547,0.417
4.0,2.25,0.059,-1.0,0.324
5.0,2.25,0.053,-0.601,0.282
6.0,2.25,0.058,-0.653,0.286
7.0,2.25,0.068,-0.694,0.24
8.0,2.25,0.058,-0.481,0.171
9.0,2.25,0.064,-0.61,0.201
10.,2.25,0.054,-0.846,0.162

4.0,3.0,0.119,-0.806,0.2
5.0,3.0,0.135,-0.723,0.232
6.0,3.0,0.037,-1.03,0.122
7.0,3.0,0.048,-0.657,0.159
8.0,3.0,0.102,-0.679,0.167
9.0,3.0,0.046,-0.648,0.127

10.,3.0,0.05,-0.801,0.149
7.0,6.0,0.188,-0.856,0.399
8.0,6.0,0.155,-0.447,0.345
9.0,6.0,0.194,-0.478,0.442
10.0,6.0,0.137,-0.125,0.291
