upsmcmass,v0mcmasssum,massdiff,recoilmass_left,recoilmass_right
2.0,1.5,0.074,-0.478,0.412
3.0,1.5,0.067,-0.701,0.482
3.0,2.25,0.064,-0.547,0.417
4.0,1.5,0.061,-0.644,0.305
4.0,2.25,0.059,-1.0,0.324
4.0,3.0,0.119,-0.806,0.2
5.0,1.5,0.061,-0.6,0.277
5.0,2.25,0.053,-0.601,0.282
5.0,3.0,0.135,-0.723,0.232
6.0,1.5,0.063,-0.624,0.176
6.0,2.25,0.058,-0.653,0.286
6.0,3.0,0.037,-1.03,0.122
7.0,1.5,0.064,-0.577,0.222
7.0,2.25,0.068,-0.694,0.24
7.0,3.0,0.048,-0.657,0.159
7.0,6.0,0.188,-0.856,0.399
8.0,1.5,0.064,-0.551,0.197
8.0,2.25,0.058,-0.481,0.171
8.0,3.0,0.102,-0.679,0.167
8.0,6.0,0.155,-0.447,0.345
9.0,1.5,0.066,-0.541,0.159
9.0,2.25,0.064,-0.61,0.201
9.0,3.0,0.046,-0.648,0.127
9.0,6.0,0.194,-0.478,0.442
10.0,1.5,0.069,-0.462,0.172
10.0,2.25,0.054,-0.846,0.162
10.0,3.0,0.05,-0.801,0.149
10.0,6.0,0.137,-0.125,0.291
